Applicant_Gender_F      ,Applicant_Gender_M      ,Owned_Car_0,Owned_Car_1,Owned_Realty_0,Owned_Realty_1,Income_Type_Commercial associate                              ,Income_Type_Pensioner                                         ,Income_Type_State servant                                     ,Income_Type_Student                                           ,Income_Type_Working                                           ,Education_Type_Academic degree                                   ,Education_Type_Higher education                                  ,Education_Type_Incomplete higher                                 ,Education_Type_Lower secondary                                   ,Education_Type_Secondary / secondary special                     ,Family_Status_Civil marriage                                    ,Family_Status_Married                                           ,Family_Status_Separated                                         ,Family_Status_Single / not married                              ,Family_Status_Widow                                             ,Housing_Type_Co-op apartment                                   ,Housing_Type_House / apartment                                 ,Housing_Type_Municipal apartment                               ,Housing_Type_Office apartment                                  ,Housing_Type_Rented apartment                                  ,Housing_Type_With parents                                      ,Owned_Mobile_Phone_1,Owned_Work_Phone_0,Owned_Work_Phone_1,Owned_Phone_0,Owned_Phone_1,Owned_Email_0,Owned_Email_1,Job_Title_Accountants                                       ,Job_Title_Cleaning staff                                    ,Job_Title_Cooking staff                                     ,Job_Title_Core staff                                        ,Job_Title_Drivers                                           ,Job_Title_HR staff                                          ,Job_Title_High skill tech staff                             ,Job_Title_IT staff                                          ,Job_Title_Laborers                                          ,Job_Title_Low-skill Laborers                                ,Job_Title_Managers                                          ,Job_Title_Medicine staff                                    ,Job_Title_Private service staff                             ,Job_Title_Realty agents                                     ,Job_Title_Sales staff                                       ,Job_Title_Secretaries                                       ,Job_Title_Security staff                                    ,Job_Title_Waiters/barmen staff                              ,Total_Children,Total_Income,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.16666666666666666,0.34042553191489366,0.23255813953488375,0.02040816326530612,0.0,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.12790697674418605,0.33333333333333337,0.276595744680851,0.06976744186046512,0.12244897959183673,0.05,0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18604651162790697,0.16666666666666666,0.6595744680851064,0.06976744186046512,0.9999999999999999,0.18333333333333335,0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11337209302325582,0.16666666666666666,0.14893617021276595,0.13953488372093026,0.1020408163265306,0.03333333333333334,0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18604651162790697,0.0,0.7446808510638298,0.06976744186046512,0.04081632653061224,0.0,0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.02616279069767442,0.33333333333333337,0.6595744680851064,0.2558139534883721,0.36734693877551017,0.26666666666666666,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049418604651162795,0.16666666666666666,0.17021276595744683,0.023255813953488372,0.3061224489795918,0.05,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09883720930232559,0.0,0.34042553191489366,0.23255813953488375,0.14285714285714285,0.06666666666666667,0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.07848837209302326,0.5,0.276595744680851,0.046511627906976744,0.1020408163265306,0.016666666666666666,0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06976744186046512,0.33333333333333337,0.3829787234042553,0.023255813953488372,0.24489795918367346,0.15,0
